,0
pca_1,14.354556892293939
pca_2,6.996215148464502
pca_3,6.206635382157051
pca_4,5.050601511388274
pca_5,3.914882294194035
pca_6,3.7386177499130673
pca_7,3.653700748964829
pca_8,3.321444916061482
pca_9,3.232601685164599
pca_10,3.0304020176182074
pca_11,2.8301101676335363
pca_12,2.726698876193411
pca_13,2.652856076907959
pca_14,2.582822053609474
pca_15,2.54376495544421
pca_16,2.412572464650371
pca_17,2.336833654970325
pca_18,2.3319265353354486
pca_19,2.2362699641913313
pca_20,2.1872445838917707
pca_21,2.1675558713066634
pca_22,2.1111484839264807
pca_23,2.0763345309603274
pca_24,2.0175090522617696
pca_25,1.9975662405360495
pca_26,1.9241533665963697
pca_27,1.9190597040322581
pca_28,1.9112621264723693
pca_29,1.8890967153605378
pca_30,1.8664330123576058
pca_31,1.794635184691929
pca_32,1.7721023702155208
pca_33,1.7375332104300019
pca_34,1.722662383457578
pca_35,1.6855259583798863
pca_36,1.641948691210026
pca_37,1.5997627908956533
pca_38,1.5787481636945824
pca_39,1.550605074789833
pca_40,1.5333536496060356
pca_41,1.5129051744409159
pca_42,1.4852147640064788
pca_43,1.4701739000491212
pca_44,1.4507647455154915
pca_45,1.4301051821681698
pca_46,1.420389670377832
pca_47,1.4076515484018854
pca_48,1.397416494909786
pca_49,1.366758195708206
pca_50,1.3607406402064042
pca_51,1.3381084706303132
pca_52,1.3163116922414702
pca_53,1.3079022818383286
pca_54,1.297322673100465
pca_55,1.2768533075856685
pca_56,1.267878576304384
pca_57,1.260195797763744
pca_58,1.2410432796513526
pca_59,1.227648390117618
pca_60,1.2200813136880053
pca_61,1.2036351717975116
pca_62,1.1841942610175313
pca_63,1.16648207235488
pca_64,1.1497101100289382
pca_65,1.147196034142211
pca_66,1.125459018430171
pca_67,1.11907004475266
pca_68,1.1113237478920512
pca_69,1.105718339611695
pca_70,1.0877648358883707
pca_71,1.0799440518757242
pca_72,1.073684133592401
pca_73,1.0679450843185745
pca_74,1.0640510285956255
pca_75,1.0530067551323505
pca_76,1.0497803082596178
pca_77,1.0291647822908214
pca_78,1.0280389954272229
pca_79,1.0248391740259626
pca_80,1.0074784179977172
pca_81,0.9943101115264338
pca_82,0.9894786062693857
pca_83,0.9786113097418551
pca_84,0.9711981788747343
pca_85,0.95561055775231
pca_86,0.9529020443177362
pca_87,0.9379376324540543
pca_88,0.9263701972826984
pca_89,0.9187614893253289
pca_90,0.9050616328756997
pca_91,0.8950784888625101
pca_92,0.8871913121540826
pca_93,0.8697162388685554
pca_94,0.8666670907273475
pca_95,0.8601371904356658
pca_96,0.8493408106307594
pca_97,0.8419156833322484
pca_98,0.8408282790618972
pca_99,0.8261161687157985
pca_100,0.8177023998381904
pca_101,0.8032383741184348
pca_102,0.7927691269887027
pca_103,0.7849135822383121
pca_104,0.7758231504588077
pca_105,0.7751133178543207
pca_106,0.7549547743525152
pca_107,0.7422729054874918
pca_108,0.7398815243069967
pca_109,0.7375808670430982
pca_110,0.7266488912320774
pca_111,0.7222929059391641
pca_112,0.7110546516539957
pca_113,0.7021229131772301
pca_114,0.6896261322709265
pca_115,0.6789705948180721
pca_116,0.6686720754230505
pca_117,0.656994723709431
pca_118,0.6509594071478915
pca_119,0.6410983427542288
pca_120,0.6365505220554614
pca_121,0.6261047398800057
pca_122,0.6193288384423522
pca_123,0.6157877355517574
pca_124,0.6032209805247912
pca_125,0.5966683217380393
pca_126,0.5902037650079648
pca_127,0.5766548507558088
pca_128,0.5730778681812925
pca_129,0.5629628456060843
pca_130,0.5557665419149342
pca_131,0.5478964668585029
pca_132,0.5348548220557992
pca_133,0.5294112436146918
pca_134,0.5204295177180339
pca_135,0.5116927051860595
pca_136,0.5078973994223843
pca_137,0.504055951771897
pca_138,0.491797894602416
pca_139,0.4855864096726778
pca_140,0.464665032454831
pca_141,0.45738966988457763
pca_142,0.4526836300020257
pca_143,0.4475973301236065
pca_144,0.44156092826410287
pca_145,0.435181719485249
pca_146,0.41997835230848485
pca_147,0.41218115044108544
pca_148,0.40070245290053863
pca_149,0.39151334673187577
pca_150,0.38841271708630865
pca_151,0.37476411568909995
pca_152,0.3648135815661465
pca_153,0.352685431518264
pca_154,0.3484509375822415
pca_155,0.3431055586601188
pca_156,0.3340839135764986
pca_157,0.3185239680649299
pca_158,0.31668513807755266
pca_159,0.31301333345460913
pca_160,0.2992845018586815
pca_161,0.29525642154704207
pca_162,0.2798676880960649
pca_163,0.2772222318554904
pca_164,0.26575044742579423
pca_165,0.2619759747684801
pca_166,0.25076250810523376
pca_167,0.23838315977773095
pca_168,0.2350450666398691
pca_169,0.2295846827492187
pca_170,0.2274966444001709
pca_171,0.20997821534141672
pca_172,0.20705446761675847
pca_173,0.19817243996548525
pca_174,0.18466612839669894
pca_175,0.1721091548002681
pca_176,0.16605165820758327
pca_177,0.1620283878460308
pca_178,0.15181639363859062
pca_179,0.1459389804530492
pca_180,0.12897916486769334
pca_181,0.12576207878553747
pca_182,0.10831707853358626
pca_183,0.10174302069924415
pca_184,0.089630295627314
pca_185,0.08314870335378408
pca_186,0.07579306980335047
pca_187,0.0746793788222899
pca_188,0.07282504627894196
pca_189,0.06076808028968667
pca_190,0.0530455742562339
pca_191,0.03622689936501679
pca_192,0.029957287592309773
pca_193,0.021416185738569734
pca_194,0.01910045393392144
pca_195,0.015911940794959563
pca_196,0.01520090382729747
pca_197,0.00026575622203347165
pca_198,2.8309371860253777e-30
pca_199,4.679888324631566e-31
pca_200,4.244772520607797e-31
pca_201,3.2160903362272164e-31
pca_202,2.7586804972235614e-31
pca_203,2.6597525795459113e-31
pca_204,2.6416703315495573e-31
pca_205,2.30816912052391e-31
pca_206,1.6403643762420095e-31
pca_207,1.3859778433363922e-31
pca_208,1.2247639088841264e-31
pca_209,9.772379400091258e-32
pca_210,8.428052572899657e-32
pca_211,8.12919587736586e-32
pca_212,7.30721924295327e-32
pca_213,6.987030465429552e-32
pca_214,6.792511760384266e-32
pca_215,6.792511760384266e-32
pca_216,6.792511760384266e-32
pca_217,6.792511760384266e-32
pca_218,1.9940319128423243e-32
pca_219,9.275501762504111e-33
pca_220,1.0982358408032812e-34
